provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,cluster,kategori_kesejahteraan
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,1900000.0,466354.99999999994,11226.0,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,1900000.0,466354.99999999994,11226.0,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,2118500.0,548853.0,13627.000000000002,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,2118500.0,548853.0,13627.000000000002,1,Menengah
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,1900000.0,395136.0,11226.0,3,Menengah
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,1900000.0,395136.0,11226.0,3,Menengah
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,2118500.0,412251.0,13627.000000000002,3,Menengah
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,2118500.0,412251.0,13627.000000000002,3,Menengah
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,2500000.0,610731.9999999999,14809.0,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,2500000.0,610731.9999999999,14809.0,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,2700000.0,637432.0,13814.0,1,Menengah
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,2700000.0,637432.0,13814.0,1,Menengah
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,2500000.0,494150.00000000006,14809.0,3,Menengah
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,2500000.0,494150.00000000006,14809.0,3,Menengah
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915.0,2700000.0,506656.0,13814.0,3,Menengah
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463.0,2700000.0,506656.0,13814.0,3,Menengah
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040.0,2916810.0,639421.0,15065.000000000002,1,Menengah
